,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
6640,3 punti segnato,,Davide Denegri,made,271,1471,1080.0,840.0,7
6641,3 punti sbagliato,,Filip Kruslin,missed,294,1494,1065.0,868.0,7
6642,2 punti segnato,,Davide Denegri,made,323,1523,1065.0,644.0,3
6643,2 punti sbagliato,,Stephane Gombauld,missed,352,1552,645.0,336.0,0
6644,3 punti sbagliato,,Davide Denegri,missed,359,1559,1245.0,756.0,7
6645,2 punti sbagliato,,Simone Zanotti,missed,378,1578,180.0,224.0,1
6646,2 punti sbagliato,,Marcus Zegarowski,missed,398,1598,690.0,168.0,0
6647,2 punti segnato,,Simone Zanotti,made,398,1598,690.0,168.0,0
6648,2 punti segnato,Andrea Pecchia,Nathan Adrian,made,417,1617,735.0,336.0,0
6649,2 punti segnato,,Wayne Mccullough,made,455,1655,780.0,756.0,3
6650,3 punti sbagliato,,Alessandro Cappelletti,missed,476,1676,1455.0,392.0,8
6651,3 punti sbagliato,,Simone Zanotti,missed,488,1688,45.0,280.0,5
6652,2 punti segnato,,Alessandro Cappelletti,made,503,1703,990.0,532.0,3
6653,3 punti segnato,Alessandro Cappelletti,Filip Kruslin,made,534,1734,1455.0,280.0,8
6654,2 punti segnato,,Trevor Lacey,made,555,1755,1125.0,616.0,3
6655,3 punti segnato,,Trevor Lacey,made,594,1794,1140.0,840.0,7
6656,2 punti sbagliato,,Stanley Whittaker Jr,missed,17,1817,420.0,448.0,2
6657,2 punti segnato,,Andrea Pecchia,made,28,1828,825.0,196.0,0
6658,3 punti sbagliato,,Wayne Mccullough,missed,74,1874,465.0,868.0,6
6659,2 punti sbagliato,,Ousmane Diop,missed,91,1891,675.0,224.0,0
6660,2 punti segnato,,Ousmane Diop,made,91,1891,660.0,168.0,0
6661,3 punti segnato,Marcus Zegarowski,Wayne Mccullough,made,109,1909,75.0,308.0,5
6662,2 punti segnato,,Marcus Zegarowski,made,149,1949,1065.0,616.0,3
6663,2 punti segnato,,Ousmane Diop,made,169,1969,780.0,280.0,0
6664,3 punti sbagliato,,Alfonzo Mckinnie,missed,194,1994,1200.0,868.0,7
6665,2 punti segnato,Alessandro Cappelletti,Alfonzo Mckinnie,made,215,2015,750.0,140.0,0
6666,2 punti segnato,,Marcus Zegarowski,made,221,2021,705.0,224.0,0
6667,3 punti segnato,Marcus Zegarowski,Nathan Adrian,made,236,2036,45.0,252.0,5
6668,2 punti sbagliato,,Andrea Pecchia,missed,261,2061,660.0,196.0,0
6669,2 punti segnato,Vasilis Charalampopoulos,Ousmane Diop,made,268,2068,750.0,140.0,0
6670,2 punti sbagliato,,Alfonzo Mckinnie,missed,280,2080,840.0,196.0,0
6671,3 punti segnato,Stanley Whittaker Jr,Vasilis Charalampopoulos,made,288,2088,1185.0,784.0,7
6672,2 punti sbagliato,,Stanley Whittaker Jr,missed,334,2134,1245.0,252.0,4
6673,2 punti segnato,Grant Golden,Andrea Pecchia,made,352,2152,660.0,168.0,0
6674,3 punti sbagliato,,Andrea Pecchia,missed,392,2192,1110.0,812.0,7
6675,2 punti segnato,,Stefano Gentile,made,409,2209,810.0,308.0,0
6676,2 punti segnato,,Trevor Lacey,made,439,2239,975.0,728.0,3
6677,3 punti sbagliato,,Stefano Gentile,missed,452,2252,375.0,812.0,6
6678,3 punti sbagliato,,Paul Eboua,missed,471,2271,1125.0,784.0,7
6679,2 punti segnato,,Stanley Whittaker Jr,made,486,2286,855.0,196.0,0
6680,3 punti sbagliato,,Nathan Adrian,missed,510,2310,60.0,336.0,5
6681,2 punti segnato,,Trevor Lacey,made,553,2353,765.0,196.0,0
6682,3 punti sbagliato,,Alfonzo Mckinnie,missed,559,2359,525.0,896.0,6
6683,2 punti segnato,Trevor Lacey,Andrea Pecchia,made,587,2387,855.0,196.0,0
6684,3 punti sbagliato,,Stanley Whittaker Jr,missed,593,2393,1320.0,812.0,7
6685,2 punti segnato,Andrea Pecchia,Wayne Mccullough,made,594,2394,750.0,140.0,0
6686,2 punti segnato,Jamel Morris,Jajuan Johnson,made,18,18,1125.0,168.0,4
6687,3 punti sbagliato,,Mike Daum,missed,36,36,825.0,896.0,7
6688,2 punti sbagliato,,Jajuan Johnson,missed,52,52,390.0,140.0,1
6689,2 punti segnato,Kyle Weems,Retin Obasohan,made,57,57,915.0,84.0,0
6690,3 punti sbagliato,,Nate Laszewski,missed,79,79,465.0,896.0,6
6691,2 punti sbagliato,,Kyle Weems,missed,97,97,1215.0,504.0,3
6692,2 punti segnato,,Jamel Morris,made,117,117,945.0,224.0,0
6693,2 punti sbagliato,,Retin Obasohan,missed,138,138,990.0,196.0,0
6694,2 punti segnato,,Nate Laszewski,made,153,153,825.0,336.0,0
6695,2 punti sbagliato,,Kyle Weems,missed,213,213,975.0,140.0,0
6696,2 punti sbagliato,,Kyle Weems,missed,213,213,975.0,140.0,0
6697,2 punti segnato,,Kyle Weems,made,213,213,975.0,140.0,0
6698,3 punti sbagliato,,Jamel Morris,missed,239,239,825.0,924.0,7
6699,2 punti segnato,,Jajuan Johnson,made,258,258,645.0,336.0,0
6700,2 punti sbagliato,,Jamel Morris,missed,258,258,645.0,336.0,0
6701,3 punti sbagliato,,Retin Obasohan,missed,292,292,1245.0,812.0,7
6702,3 punti segnato,Nate Laszewski,Joonas Riismaa,made,317,317,1290.0,1036.0,7
6703,3 punti sbagliato,,Jamel Morris,missed,351,351,1350.0,700.0,7
6704,2 punti sbagliato,,Mike Daum,missed,364,364,810.0,308.0,0
6705,2 punti segnato,,Mike Daum,made,364,364,810.0,308.0,0
6706,3 punti sbagliato,,Tommaso Laquintana,missed,382,382,990.0,980.0,7
6707,3 punti sbagliato,,Jamel Morris,missed,422,422,1305.0,924.0,7
6708,2 punti segnato,,Chris Dowe,made,433,433,870.0,168.0,0
6709,2 punti segnato,,Jordan Bayehe,made,474,474,615.0,336.0,0
6710,2 punti sbagliato,,Luca Severini,missed,491,491,510.0,532.0,2
6711,3 punti segnato,,Tomas Kyzlink,made,516,516,225.0,756.0,6
6712,2 punti segnato,,Tommaso Baldasso,made,534,534,930.0,448.0,3
6713,3 punti sbagliato,,Wendell Mitchell,missed,552,552,1470.0,504.0,8
6714,3 punti sbagliato,,Leonardo Candi,missed,570,570,840.0,924.0,7
6715,3 punti segnato,,Tommaso Baldasso,made,584,584,825.0,924.0,7
6716,2 punti sbagliato,,Tommaso Laquintana,missed,596,596,780.0,560.0,3
6717,3 punti sbagliato,,Leonardo Candi,missed,14,614,390.0,840.0,6
6718,3 punti sbagliato,,Leonardo Candi,missed,21,621,435.0,812.0,6
6719,2 punti sbagliato,,Leonardo Candi,missed,59,659,1095.0,168.0,4
6720,2 punti sbagliato,,Arturs Strautins,missed,99,699,825.0,420.0,3
6721,2 punti sbagliato,,Tommaso Baldasso,missed,100,700,930.0,196.0,0
6722,2 punti sbagliato,,Arturs Strautins,missed,100,700,870.0,308.0,0
6723,2 punti segnato,,Wendell Mitchell,made,110,710,585.0,224.0,0
6724,2 punti sbagliato,,Kyle Weems,missed,138,738,795.0,364.0,0
6725,2 punti sbagliato,,Kyle Weems,missed,138,738,795.0,364.0,0
6726,2 punti sbagliato,,Wendell Mitchell,missed,150,750,930.0,364.0,3
6727,2 punti segnato,,Tomas Kyzlink,made,159,759,1245.0,196.0,4
6728,3 punti sbagliato,,Wendell Mitchell,missed,191,791,315.0,812.0,6
6729,2 punti sbagliato,,Kyle Weems,missed,202,802,915.0,280.0,0
6730,2 punti segnato,,Tomas Kyzlink,made,216,816,1005.0,224.0,4
6731,3 punti sbagliato,,Jamel Morris,missed,287,887,435.0,896.0,6
6732,2 punti sbagliato,,Tomas Kyzlink,missed,292,892,1050.0,392.0,3
6733,2 punti segnato,,Leon Radosevic,made,314,914,855.0,448.0,3
6734,2 punti sbagliato,,Mike Daum,missed,346,946,840.0,336.0,0
6735,3 punti segnato,,Tomas Kyzlink,made,357,957,1050.0,924.0,7
6736,3 punti sbagliato,,Jeremy Senglin,missed,400,1000,810.0,980.0,7
6737,2 punti sbagliato,,Retin Obasohan,missed,414,1014,795.0,560.0,3
6738,2 punti segnato,,Jamel Morris,made,429,1029,615.0,364.0,2
6739,2 punti segnato,Leon Radosevic,Kyle Weems,made,449,1049,675.0,168.0,0
6740,2 punti segnato,,Chris Dowe,made,473,1073,945.0,168.0,0
6741,3 punti segnato,Nate Laszewski,Jeremy Senglin,made,483,1083,315.0,868.0,6
6742,3 punti segnato,Chris Dowe,Mike Daum,made,498,1098,765.0,924.0,7
6743,2 punti sbagliato,,Jajuan Johnson,missed,519,1119,675.0,588.0,2
6744,3 punti sbagliato,,Tommaso Baldasso,missed,524,1124,510.0,840.0,6
6745,2 punti sbagliato,,Joonas Riismaa,missed,546,1146,1080.0,308.0,4
6746,2 punti segnato,,Chris Dowe,made,560,1160,885.0,196.0,0
6747,3 punti sbagliato,,Jeremy Senglin,missed,582,1182,1200.0,924.0,7
6748,2 punti segnato,,Jamel Morris,made,598,1198,960.0,336.0,3
6749,3 punti sbagliato,,Joonas Riismaa,missed,13,1213,330.0,840.0,6
6750,2 punti sbagliato,,Chris Dowe,missed,46,1246,510.0,364.0,2
6751,3 punti sbagliato,,Nate Laszewski,missed,67,1267,1275.0,700.0,7
6752,3 punti segnato,,Chris Dowe,made,81,1281,840.0,980.0,7
6753,2 punti sbagliato,,Nate Laszewski,missed,108,1308,780.0,280.0,0
6754,2 punti segnato,,Leon Radosevic,made,126,1326,810.0,336.0,0
6755,2 punti segnato,Chris Dowe,Leon Radosevic,made,163,1363,1200.0,168.0,4
6756,3 punti sbagliato,,Jamel Morris,missed,183,1383,840.0,1036.0,7
6757,2 punti segnato,Mike Daum,Kyle Weems,made,190,1390,900.0,168.0,0
6758,3 punti segnato,Jajuan Johnson,Jeremy Senglin,made,195,1395,30.0,168.0,5
6759,3 punti sbagliato,,Kyle Weems,missed,232,1432,1365.0,700.0,7
6760,2 punti sbagliato,,Chris Dowe,missed,257,1457,930.0,308.0,0
6761,2 punti sbagliato,,Jajuan Johnson,missed,292,1492,615.0,252.0,0
6762,2 punti sbagliato,,Mike Daum,missed,312,1512,990.0,588.0,3
6763,2 punti segnato,Jajuan Johnson,Jordan Bayehe,made,329,1529,840.0,140.0,0
6764,2 punti sbagliato,,Leonardo Candi,missed,356,1556,465.0,532.0,2
6765,2 punti segnato,,Nate Laszewski,made,372,1572,960.0,56.0,0
6766,2 punti sbagliato,,Leonardo Candi,missed,395,1595,855.0,420.0,3
6767,2 punti sbagliato,,Jamel Morris,missed,408,1608,645.0,392.0,2
6768,2 punti sbagliato,,Tashawn Thomas,missed,422,1622,690.0,168.0,0
6769,2 punti sbagliato,,Jordan Bayehe,missed,443,1643,855.0,280.0,0
6770,3 punti segnato,,Tommaso Baldasso,made,448,1648,1230.0,812.0,7
6771,2 punti sbagliato,,Nate Laszewski,missed,475,1675,600.0,308.0,0
6772,3 punti sbagliato,,Leonardo Candi,missed,482,1682,180.0,700.0,6
6773,3 punti sbagliato,,Wendell Mitchell,missed,508,1708,1305.0,728.0,7
6774,2 punti sbagliato,,Tashawn Thomas,missed,521,1721,570.0,336.0,2
6775,2 punti sbagliato,,Leonardo Candi,missed,521,1721,570.0,336.0,2
6776,2 punti sbagliato,,Wendell Mitchell,missed,535,1735,765.0,336.0,0
6777,3 punti segnato,Tommaso Baldasso,Leonardo Candi,made,540,1740,210.0,616.0,6
6778,2 punti sbagliato,,Nate Laszewski,missed,567,1767,540.0,644.0,2
6779,2 punti sbagliato,,Jeremy Senglin,missed,574,1774,510.0,476.0,2
6780,2 punti sbagliato,,Luca Severini,missed,587,1787,525.0,112.0,0
6781,2 punti segnato,,Jamel Morris,made,596,1796,885.0,196.0,0
6782,3 punti sbagliato,,Tommaso Baldasso,missed,600,1800,465.0,1232.0,6
6783,2 punti segnato,,Tommaso Baldasso,made,14,1814,1155.0,532.0,3
6784,3 punti sbagliato,,Jamel Morris,missed,32,1832,1140.0,840.0,7
6785,3 punti sbagliato,,Jamel Morris,missed,47,1847,645.0,980.0,6
6786,3 punti sbagliato,,Tommaso Baldasso,missed,63,1863,735.0,980.0,6
6787,3 punti segnato,Wendell Mitchell,Nate Laszewski,made,74,1874,1485.0,308.0,8
6788,2 punti sbagliato,,Tommaso Baldasso,missed,93,1893,525.0,336.0,2
6789,2 punti sbagliato,,Jajuan Johnson,missed,119,1919,870.0,616.0,3
6790,2 punti sbagliato,,Luca Severini,missed,132,1932,255.0,448.0,2
6791,2 punti segnato,,Jamel Morris,made,154,1954,675.0,140.0,0
6792,2 punti segnato,,Jajuan Johnson,made,190,1990,555.0,224.0,0
6793,2 punti sbagliato,,Tommaso Baldasso,missed,201,2001,930.0,140.0,0
6794,2 punti sbagliato,,Tashawn Thomas,missed,239,2039,600.0,364.0,2
6795,2 punti sbagliato,,Luca Severini,missed,242,2042,975.0,224.0,0
6796,2 punti sbagliato,,Jordan Bayehe,missed,260,2060,855.0,392.0,3
6797,2 punti segnato,,Wendell Mitchell,made,260,2060,855.0,392.0,3
6798,2 punti sbagliato,,Chris Dowe,missed,285,2085,765.0,392.0,0
6799,2 punti segnato,Jamel Morris,Jordan Bayehe,made,302,2102,750.0,196.0,0
6800,2 punti segnato,Chris Dowe,Leonardo Candi,made,317,2117,870.0,588.0,3
6801,2 punti sbagliato,,Wendell Mitchell,missed,340,2140,705.0,252.0,0
6802,3 punti sbagliato,,Tommaso Baldasso,missed,350,2150,720.0,952.0,6
6803,3 punti sbagliato,,Mike Daum,missed,373,2173,660.0,1008.0,6
6804,2 punti sbagliato,,Jordan Bayehe,missed,396,2196,945.0,560.0,3
6805,2 punti segnato,Chris Dowe,Kyle Weems,made,408,2208,750.0,308.0,0
6806,3 punti segnato,Jamel Morris,Jordan Bayehe,made,426,2226,1155.0,868.0,7
6807,3 punti segnato,Chris Dowe,Mike Daum,made,452,2252,435.0,896.0,6
6808,3 punti sbagliato,,Jamel Morris,missed,472,2272,555.0,868.0,6
6809,2 punti sbagliato,,Leonardo Candi,missed,490,2290,765.0,420.0,3
6810,2 punti sbagliato,,Jajuan Johnson,missed,530,2330,795.0,308.0,0
6811,2 punti sbagliato,,Jamel Morris,missed,541,2341,900.0,476.0,3
6812,3 punti sbagliato,,Kyle Weems,missed,563,2363,675.0,924.0,6
6813,2 punti sbagliato,,Jeremy Senglin,missed,589,2389,645.0,448.0,2
6814,3 punti sbagliato,,Jeremy Senglin,missed,600,2400,720.0,896.0,6
6815,3 punti segnato,Olivier Hanlan,Sean Mcdermott,made,11,11,1035.0,868.0,7
6816,2 punti sbagliato,,Daniel Hackett,missed,29,29,510.0,280.0,1
6817,2 punti sbagliato,,Daniel Hackett,missed,37,37,405.0,616.0,2
6818,2 punti sbagliato,,Devontae Cacok,missed,48,48,855.0,504.0,3
6819,3 punti sbagliato,,Olivier Hanlan,missed,48,48,1305.0,728.0,7
6820,2 punti segnato,Isaia Cordinier,Devontae Cacok,made,58,58,1005.0,224.0,4
6821,3 punti sbagliato,,Gabe Brown,missed,73,73,1395.0,532.0,7
6822,2 punti sbagliato,,Devontae Cacok,missed,87,87,630.0,196.0,0
6823,2 punti segnato,Olivier Hanlan,Willie Cauley-Stein,made,100,100,855.0,252.0,0
6824,2 punti sbagliato,,Ognjen Dobric,missed,120,120,795.0,308.0,0
6825,3 punti sbagliato,,Andriu Tomas Woldetensae,missed,143,143,135.0,672.0,6
6826,2 punti segnato,Daniel Hackett,Ognjen Dobric,made,153,153,840.0,140.0,0
6827,2 punti sbagliato,,Andriu Tomas Woldetensae,missed,166,166,795.0,196.0,0
6828,3 punti sbagliato,,Achille Polonara,missed,174,174,45.0,364.0,5
6829,2 punti segnato,Andriu Tomas Woldetensae,Gabe Brown,made,183,183,885.0,168.0,0
6830,2 punti sbagliato,,Ognjen Dobric,missed,200,200,705.0,168.0,0
6831,2 punti segnato,,Achille Polonara,made,200,200,705.0,168.0,0
6832,2 punti sbagliato,,Olivier Hanlan,missed,242,242,855.0,252.0,0
6833,2 punti segnato,Daniel Hackett,Ognjen Dobric,made,248,248,645.0,196.0,0
6834,3 punti segnato,,Isaia Cordinier,made,269,269,1005.0,868.0,7
6835,2 punti sbagliato,,Devontae Cacok,missed,290,290,855.0,392.0,3
6836,2 punti segnato,,Davide Moretti,made,296,296,630.0,196.0,0
6837,2 punti segnato,Daniel Hackett,Bryant Dunston,made,311,311,810.0,196.0,0
6838,3 punti sbagliato,,Davide Moretti,missed,324,324,555.0,924.0,6
6839,3 punti sbagliato,,Achille Polonara,missed,333,333,1125.0,840.0,7
6840,3 punti segnato,Isaia Cordinier,Marco Belinelli,made,339,339,1455.0,448.0,8
6841,2 punti sbagliato,,Andriu Tomas Woldetensae,missed,347,347,690.0,224.0,0
6842,2 punti sbagliato,,Willie Cauley-Stein,missed,355,355,720.0,336.0,0
6843,3 punti sbagliato,,Marco Belinelli,missed,359,359,840.0,868.0,7
6844,2 punti segnato,Marco Belinelli,Achille Polonara,made,368,368,825.0,168.0,0
6845,3 punti sbagliato,,Gabe Brown,missed,387,387,75.0,364.0,5
6846,2 punti sbagliato,,Isaia Cordinier,missed,397,397,870.0,224.0,0
6847,2 punti sbagliato,,Willie Cauley-Stein,missed,410,410,660.0,224.0,0
6848,3 punti sbagliato,,Isaia Cordinier,missed,423,423,75.0,560.0,6
6849,2 punti sbagliato,,Davide Moretti,missed,431,431,315.0,224.0,1
6850,2 punti sbagliato,,Bryant Dunston,missed,451,451,765.0,448.0,3
6851,3 punti sbagliato,,Gabe Brown,missed,455,455,210.0,756.0,6
6852,2 punti sbagliato,,Bryant Dunston,missed,468,468,840.0,336.0,0
6853,2 punti segnato,,Gabriel Lundberg,made,476,476,375.0,672.0,2
6854,2 punti sbagliato,,Andriu Tomas Woldetensae,missed,488,488,585.0,224.0,0
6855,3 punti segnato,Gabriel Lundberg,Marco Belinelli,made,493,493,1425.0,504.0,8
6856,3 punti segnato,,Vinnie Shahid,made,515,515,1335.0,644.0,7
6857,2 punti segnato,,Gabriel Lundberg,made,526,526,750.0,672.0,2
6858,2 punti sbagliato,,Olivier Hanlan,missed,536,536,750.0,364.0,0
6859,3 punti segnato,,Olivier Hanlan,made,544,544,735.0,952.0,6
6860,2 punti segnato,Alessandro Pajola,Bryant Dunston,made,564,564,765.0,140.0,0
6861,3 punti segnato,Scott Ulaneo,Vinnie Shahid,made,569,569,120.0,560.0,6
6862,2 punti segnato,,Gabriel Lundberg,made,589,589,795.0,196.0,0
6863,2 punti sbagliato,,Gabriel Lundberg,missed,15,615,690.0,504.0,2
6864,2 punti segnato,,Olivier Hanlan,made,26,626,690.0,168.0,0
6865,2 punti segnato,Marco Belinelli,Bryant Dunston,made,43,643,750.0,140.0,0
6866,2 punti segnato,,Willie Cauley-Stein,made,66,666,825.0,168.0,0
6867,3 punti segnato,Alessandro Pajola,Marco Belinelli,made,76,676,1380.0,588.0,7
6868,2 punti sbagliato,,Davide Moretti,missed,96,696,780.0,476.0,3
6869,2 punti sbagliato,,Olivier Hanlan,missed,113,713,810.0,672.0,3
6870,2 punti sbagliato,,Marco Belinelli,missed,128,728,1110.0,224.0,4
6871,3 punti sbagliato,,Abass Awudu Abass,missed,134,734,495.0,924.0,6
6872,2 punti segnato,,Jordan Mickey,made,144,744,615.0,336.0,0
6873,3 punti sbagliato,,Davide Moretti,missed,158,758,315.0,840.0,6
6874,2 punti sbagliato,,Jordan Mickey,missed,174,774,660.0,168.0,0
6875,2 punti sbagliato,,Willie Cauley-Stein,missed,185,785,660.0,196.0,0
6876,2 punti sbagliato,,Davide Moretti,missed,212,812,690.0,280.0,0
6877,3 punti sbagliato,,Marco Belinelli,missed,228,828,75.0,476.0,5
6878,3 punti sbagliato,,Marco Belinelli,missed,245,845,1215.0,784.0,7
6879,3 punti sbagliato,,Sean Mcdermott,missed,253,853,1365.0,672.0,7
6880,3 punti segnato,,Alessandro Pajola,made,266,866,780.0,924.0,7
6881,3 punti segnato,,Olivier Hanlan,made,277,877,765.0,952.0,7
6882,2 punti segnato,,Alessandro Pajola,made,295,895,495.0,504.0,2
6883,2 punti segnato,Ognjen Dobric,Abass Awudu Abass,made,317,917,825.0,140.0,0
6884,2 punti segnato,,Gabe Brown,made,324,924,855.0,280.0,0
6885,2 punti sbagliato,,Abass Awudu Abass,missed,333,933,615.0,196.0,0
6886,3 punti sbagliato,,Davide Moretti,missed,348,948,705.0,952.0,6
6887,2 punti sbagliato,,Jordan Mickey,missed,360,960,720.0,644.0,2
6888,2 punti sbagliato,,Isaia Cordinier,missed,373,973,600.0,224.0,0
6889,3 punti segnato,Olivier Hanlan,Davide Moretti,made,380,980,1290.0,700.0,7
6890,2 punti segnato,,Achille Polonara,made,408,1008,885.0,392.0,3
6891,2 punti segnato,,Vinnie Shahid,made,429,1029,615.0,280.0,0
6892,2 punti segnato,Isaia Cordinier,Jordan Mickey,made,455,1055,885.0,224.0,0
6893,3 punti sbagliato,,Gabe Brown,missed,466,1066,1125.0,812.0,7
6894,2 punti sbagliato,,Gabe Brown,missed,472,1072,1050.0,532.0,3
6895,2 punti segnato,,Jordan Mickey,made,484,1084,855.0,140.0,0
6896,3 punti sbagliato,,Jordan Mickey,missed,519,1119,780.0,924.0,7
6897,3 punti segnato,Davide Moretti,Sean Mcdermott,made,534,1134,285.0,756.0,6
6898,2 punti segnato,,Isaia Cordinier,made,553,1153,945.0,420.0,3
6899,2 punti sbagliato,,Ognjen Dobric,missed,562,1162,615.0,224.0,0
6900,3 punti sbagliato,,Olivier Hanlan,missed,574,1174,540.0,868.0,6
6901,2 punti sbagliato,,Achille Polonara,missed,599,1199,855.0,588.0,3
6902,3 punti sbagliato,,Ognjen Dobric,missed,600,1200,,,0
6903,2 punti segnato,,Davide Moretti,made,16,1216,825.0,224.0,0
6904,3 punti segnato,Gabriel Lundberg,Alessandro Pajola,made,39,1239,90.0,532.0,5
6905,2 punti sbagliato,,Olivier Hanlan,missed,52,1252,615.0,308.0,0
6906,2 punti segnato,Alessandro Pajola,Ognjen Dobric,made,60,1260,630.0,168.0,0
6907,2 punti sbagliato,,Willie Cauley-Stein,missed,74,1274,840.0,196.0,0
6908,3 punti sbagliato,,Gabriel Lundberg,missed,97,1297,240.0,700.0,6
6909,2 punti segnato,,Olivier Hanlan,made,110,1310,675.0,168.0,0
6910,3 punti sbagliato,,Ognjen Dobric,missed,122,1322,45.0,140.0,5
6911,2 punti segnato,,Bryant Dunston,made,122,1322,45.0,140.0,5
6912,3 punti sbagliato,,Davide Moretti,missed,146,1346,1005.0,896.0,7
6913,2 punti segnato,,Gabriel Lundberg,made,164,1364,660.0,700.0,2
6914,2 punti sbagliato,,Sean Mcdermott,missed,181,1381,645.0,168.0,0
6915,2 punti segnato,,Willie Cauley-Stein,made,181,1381,645.0,168.0,0
6916,2 punti sbagliato,,Alessandro Pajola,missed,200,1400,495.0,504.0,2
6917,2 punti segnato,Olivier Hanlan,Gabe Brown,made,206,1406,690.0,140.0,0
6918,3 punti sbagliato,,Ognjen Dobric,missed,228,1428,165.0,644.0,6
6919,3 punti segnato,Davide Moretti,Olivier Hanlan,made,245,1445,240.0,700.0,6
6920,3 punti sbagliato,,Achille Polonara,missed,272,1472,1290.0,756.0,7
6921,3 punti segnato,Gabriel Lundberg,Marco Belinelli,made,293,1493,1395.0,616.0,7
6922,3 punti segnato,Davide Moretti,Gabe Brown,made,302,1502,840.0,924.0,7
6923,2 punti sbagliato,,Olivier Hanlan,missed,346,1546,660.0,168.0,0
6924,3 punti segnato,Vinnie Shahid,Olivier Hanlan,made,384,1584,30.0,168.0,5
6925,3 punti segnato,Sean Mcdermott,Olivier Hanlan,made,418,1618,345.0,812.0,6
6926,2 punti segnato,,Gabriel Lundberg,made,432,1632,735.0,364.0,0
6927,3 punti sbagliato,,Gabriel Lundberg,missed,445,1645,795.0,896.0,7
6928,2 punti segnato,,Jordan Mickey,made,445,1645,795.0,896.0,7
6929,3 punti sbagliato,,Olivier Hanlan,missed,454,1654,195.0,644.0,6
6930,2 punti segnato,,Olivier Hanlan,made,492,1692,690.0,252.0,0
6931,2 punti segnato,,Jordan Mickey,made,511,1711,750.0,140.0,0
6932,3 punti segnato,Andriu Tomas Woldetensae,Vinnie Shahid,made,528,1728,1380.0,616.0,7
6933,2 punti segnato,,Vinnie Shahid,made,543,1743,810.0,140.0,0
6934,3 punti sbagliato,,Andriu Tomas Woldetensae,missed,570,1770,1215.0,784.0,7
6935,2 punti sbagliato,,Jordan Mickey,missed,597,1797,795.0,672.0,3
6936,3 punti segnato,Daniel Hackett,Marco Belinelli,made,7,1807,1170.0,812.0,7
6937,2 punti segnato,Abass Awudu Abass,Daniel Hackett,made,33,1833,645.0,224.0,0
6938,3 punti sbagliato,,Gabe Brown,missed,40,1840,1320.0,644.0,7
6939,3 punti sbagliato,,Daniel Hackett,missed,55,1855,1335.0,644.0,7
6940,3 punti segnato,Vinnie Shahid,Sean Mcdermott,made,66,1866,435.0,840.0,6
6941,2 punti segnato,Marco Belinelli,Jordan Mickey,made,79,1879,750.0,140.0,0
6942,2 punti sbagliato,,Sean Mcdermott,missed,97,1897,645.0,140.0,0
6943,3 punti sbagliato,,Abass Awudu Abass,missed,114,1914,1455.0,280.0,8
6944,3 punti sbagliato,,Marco Belinelli,missed,147,1947,855.0,896.0,7
6945,3 punti segnato,Sean Mcdermott,Davide Moretti,made,154,1954,1455.0,448.0,8
6946,2 punti sbagliato,,Isaia Cordinier,missed,167,1967,615.0,308.0,0
6947,3 punti segnato,,Marco Belinelli,made,174,1974,150.0,616.0,6
6948,3 punti sbagliato,,Sean Mcdermott,missed,186,1986,960.0,924.0,7
6949,2 punti segnato,Marco Belinelli,Jordan Mickey,made,212,2012,795.0,252.0,0
6950,3 punti segnato,,Davide Moretti,made,221,2021,750.0,924.0,6
6951,3 punti segnato,Jordan Mickey,Marco Belinelli,made,231,2031,975.0,896.0,7
6952,3 punti sbagliato,,Vinnie Shahid,missed,237,2037,60.0,392.0,5
6953,3 punti sbagliato,,Ognjen Dobric,missed,249,2049,210.0,728.0,6
6954,3 punti sbagliato,,Olivier Hanlan,missed,268,2068,30.0,280.0,5
6955,2 punti sbagliato,,Jordan Mickey,missed,290,2090,795.0,252.0,0
6956,2 punti segnato,,Isaia Cordinier,made,290,2090,795.0,252.0,0
6957,2 punti sbagliato,,Olivier Hanlan,missed,306,2106,735.0,448.0,2
6958,2 punti sbagliato,,Scott Ulaneo,missed,330,2130,825.0,196.0,0
6959,3 punti sbagliato,,Davide Moretti,missed,341,2141,330.0,784.0,6
6960,2 punti segnato,Bryant Dunston,Ognjen Dobric,made,362,2162,645.0,224.0,0
6961,3 punti segnato,Vinnie Shahid,Nicolò Virginio,made,384,2184,135.0,588.0,6
6962,2 punti sbagliato,,Bruno Mascolo,missed,406,2206,765.0,672.0,3
6963,2 punti segnato,,Bruno Mascolo,made,435,2235,600.0,224.0,0
6964,3 punti sbagliato,,Vinnie Shahid,missed,444,2244,1140.0,812.0,7
6965,3 punti sbagliato,,Matteo Librizzi,missed,453,2253,135.0,532.0,6
6966,3 punti segnato,Bruno Mascolo,Alessandro Pajola,made,467,2267,210.0,644.0,6
6967,2 punti sbagliato,,Bruno Mascolo,missed,497,2297,585.0,476.0,2
6968,3 punti segnato,Bruno Mascolo,Alessandro Pajola,made,507,2307,135.0,616.0,6
6969,3 punti sbagliato,,Nicolò Virginio,missed,523,2323,45.0,168.0,5
6970,3 punti sbagliato,,Alessandro Pajola,missed,530,2330,1455.0,644.0,7
6971,3 punti sbagliato,,Nicolò Virginio,missed,544,2344,780.0,924.0,7
6972,2 punti sbagliato,,Scott Ulaneo,missed,573,2373,645.0,168.0,0
6973,2 punti segnato,Alessandro Pajola,Achille Polonara,made,586,2386,750.0,140.0,0
