,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
4818,3 punti segnato,Kevin Juwan Hervey,Langston Galloway,made,310,310,1455.0,196.0,8
4819,3 punti segnato,Vasilis Charalampopoulos,Alfonzo Mckinnie,made,332,332,90.0,448.0,5
4820,2 punti sbagliato,,Briante Weber,missed,349,349,720.0,756.0,2
4821,2 punti sbagliato,,Stephane Gombauld,missed,360,360,585.0,224.0,0
4822,3 punti sbagliato,,Langston Galloway,missed,388,388,195.0,588.0,6
4823,3 punti segnato,,Breein Tyree,made,396,396,465.0,812.0,6
4824,3 punti sbagliato,,Langston Galloway,missed,420,420,1215.0,728.0,7
4825,2 punti segnato,,Stanley Whittaker Jr,made,424,424,1080.0,504.0,3
4826,3 punti segnato,Lorenzo Uglietti,Langston Galloway,made,459,459,1485.0,308.0,8
4827,2 punti segnato,,Alfonzo Mckinnie,made,470,470,795.0,196.0,0
4828,3 punti segnato,Lorenzo Uglietti,Darion Atkins,made,484,484,1140.0,840.0,7
4829,2 punti segnato,Alfonzo Mckinnie,Stanley Whittaker Jr,made,506,506,900.0,224.0,0
4830,2 punti sbagliato,,Stanley Whittaker Jr,missed,519,519,855.0,224.0,0
4831,2 punti sbagliato,,Alfonzo Mckinnie,missed,531,531,945.0,336.0,3
4832,2 punti sbagliato,,Darion Atkins,missed,551,551,660.0,672.0,2
4833,3 punti sbagliato,,Langston Galloway,missed,558,558,1290.0,672.0,7
4834,2 punti sbagliato,,Langston Galloway,missed,595,595,840.0,560.0,3
4835,3 punti sbagliato,,Stefano Gentile,missed,595,595,1080.0,868.0,7
4836,3 punti sbagliato,,Jamar Smith,missed,14,614,1110.0,812.0,7
4837,3 punti sbagliato,,Stanley Whittaker Jr,missed,47,647,105.0,420.0,5
4838,2 punti segnato,,Kaspar Treier,made,53,653,720.0,196.0,0
4839,2 punti sbagliato,,Darion Atkins,missed,70,670,855.0,532.0,3
4840,2 punti segnato,,Lorenzo Uglietti,made,76,676,705.0,224.0,0
4841,2 punti sbagliato,,Kaspar Treier,missed,129,729,1065.0,672.0,3
4842,3 punti sbagliato,,Alessandro Cappelletti,missed,149,749,720.0,868.0,6
4843,3 punti sbagliato,,Jamar Smith,missed,188,788,1185.0,728.0,7
4844,3 punti sbagliato,,Filip Kruslin,missed,206,806,1245.0,784.0,7
4845,3 punti sbagliato,,Michele Vitali,missed,215,815,990.0,868.0,7
4846,2 punti sbagliato,,Briante Weber,missed,246,846,555.0,672.0,2
4847,2 punti segnato,Ousmane Diop,Kaspar Treier,made,287,887,900.0,168.0,0
4848,3 punti sbagliato,,Sasha Grant,missed,304,904,585.0,896.0,6
4849,3 punti segnato,Alessandro Cappelletti,Breein Tyree,made,310,910,135.0,532.0,6
4850,2 punti sbagliato,,Langston Galloway,missed,315,915,630.0,280.0,0
4851,2 punti sbagliato,,Kevin Juwan Hervey,missed,348,948,690.0,252.0,0
4852,2 punti sbagliato,,Kaspar Treier,missed,363,963,405.0,140.0,1
4853,2 punti segnato,Kevin Juwan Hervey,Darion Atkins,made,374,974,750.0,140.0,0
4854,3 punti sbagliato,,Breein Tyree,missed,396,996,780.0,868.0,7
4855,2 punti sbagliato,,Breein Tyree,missed,410,1010,510.0,196.0,0
4856,2 punti segnato,Kevin Juwan Hervey,Briante Weber,made,432,1032,675.0,224.0,0
4857,2 punti sbagliato,,Stefano Gentile,missed,447,1047,825.0,196.0,0
4858,2 punti segnato,Alessandro Cappelletti,Alfonzo Mckinnie,made,463,1063,720.0,224.0,0
4859,2 punti segnato,,Sasha Grant,made,495,1095,675.0,140.0,0
4860,2 punti segnato,,Alfonzo Mckinnie,made,515,1115,705.0,196.0,0
4861,2 punti segnato,Darion Atkins,Lorenzo Uglietti,made,534,1134,705.0,224.0,0
4862,3 punti sbagliato,,Breein Tyree,missed,553,1153,1185.0,812.0,7
4863,3 punti segnato,Langston Galloway,Sasha Grant,made,580,1180,45.0,168.0,5
4864,2 punti sbagliato,,Langston Galloway,missed,24,1224,435.0,532.0,2
4865,2 punti sbagliato,,Kevin Juwan Hervey,missed,51,1251,375.0,280.0,1
4866,2 punti sbagliato,,Breein Tyree,missed,69,1269,1035.0,560.0,3
4867,3 punti sbagliato,,Langston Galloway,missed,80,1280,1260.0,672.0,7
4868,3 punti segnato,Breein Tyree,Alfonzo Mckinnie,made,92,1292,885.0,868.0,7
4869,2 punti segnato,Michele Vitali,Mouhamed Faye,made,108,1308,840.0,252.0,0
4870,2 punti sbagliato,,Alfonzo Mckinnie,missed,128,1328,405.0,168.0,1
4871,2 punti segnato,,Briante Weber,made,139,1339,945.0,392.0,3
4872,3 punti sbagliato,,Vasilis Charalampopoulos,missed,177,1377,255.0,672.0,6
4873,3 punti sbagliato,,Vasilis Charalampopoulos,missed,186,1386,1470.0,252.0,8
4874,2 punti segnato,,Vasilis Charalampopoulos,made,240,1440,645.0,252.0,0
4875,2 punti segnato,Kevin Juwan Hervey,Michele Vitali,made,261,1461,825.0,756.0,3
4876,2 punti sbagliato,,Alfonzo Mckinnie,missed,281,1481,690.0,196.0,0
4877,3 punti sbagliato,,Kevin Juwan Hervey,missed,288,1488,195.0,700.0,6
4878,3 punti sbagliato,,Breein Tyree,missed,303,1503,180.0,644.0,6
4879,2 punti segnato,,Kevin Juwan Hervey,made,325,1525,1140.0,504.0,3
4880,3 punti segnato,Jamar Smith,Kevin Juwan Hervey,made,362,1562,1425.0,364.0,8
4881,2 punti sbagliato,,Stanley Whittaker Jr,missed,384,1584,885.0,336.0,0
4882,2 punti segnato,Briante Weber,Mouhamed Faye,made,392,1592,750.0,140.0,0
4883,2 punti sbagliato,,Jamar Smith,missed,401,1601,915.0,196.0,0
4884,3 punti segnato,Filip Kruslin,Stanley Whittaker Jr,made,451,1651,45.0,280.0,5
4885,3 punti sbagliato,,Michele Vitali,missed,460,1660,75.0,252.0,5
4886,3 punti sbagliato,,Filip Kruslin,missed,470,1670,1455.0,364.0,8
4887,2 punti sbagliato,,Darion Atkins,missed,499,1699,405.0,672.0,2
4888,3 punti segnato,,Jamar Smith,made,505,1705,525.0,868.0,6
4889,3 punti sbagliato,,Kaspar Treier,missed,527,1727,255.0,672.0,6
4890,3 punti sbagliato,,Kaspar Treier,missed,599,1799,45.0,168.0,5
4891,3 punti sbagliato,,Jamar Smith,missed,26,1826,300.0,756.0,6
4892,2 punti segnato,Lorenzo Uglietti,Matteo Chillo,made,45,1845,660.0,224.0,0
4893,3 punti sbagliato,,Matteo Chillo,missed,77,1877,30.0,56.0,5
4894,2 punti segnato,,Sasha Grant,made,77,1877,30.0,56.0,5
4895,3 punti segnato,,Jamar Smith,made,116,1916,720.0,924.0,6
4896,2 punti sbagliato,,Alessandro Cappelletti,missed,133,1933,330.0,252.0,1
4897,2 punti segnato,Lorenzo Uglietti,Matteo Chillo,made,146,1946,825.0,504.0,3
4898,3 punti segnato,Lorenzo Uglietti,Langston Galloway,made,169,1969,105.0,672.0,6
4899,2 punti sbagliato,,Breein Tyree,missed,182,1982,780.0,308.0,0
4900,2 punti segnato,,Langston Galloway,made,212,2012,765.0,532.0,3
4901,2 punti sbagliato,,Stanley Whittaker Jr,missed,273,2073,330.0,420.0,2
4902,3 punti segnato,Lorenzo Uglietti,Kevin Juwan Hervey,made,285,2085,1455.0,364.0,8
4903,2 punti sbagliato,,Alfonzo Mckinnie,missed,312,2112,705.0,560.0,2
4904,2 punti sbagliato,,Alfonzo Mckinnie,missed,338,2138,870.0,336.0,0
4905,3 punti segnato,Stefano Gentile,Stanley Whittaker Jr,made,344,2144,1305.0,644.0,7
4906,2 punti segnato,,Kevin Juwan Hervey,made,366,2166,435.0,448.0,2
4907,3 punti sbagliato,,Breein Tyree,missed,410,2210,1035.0,868.0,7
4908,2 punti sbagliato,,Alessandro Cipolla,missed,427,2227,195.0,168.0,1
4909,2 punti segnato,Stanley Whittaker Jr,Alfonzo Mckinnie,made,431,2231,705.0,168.0,0
4910,2 punti sbagliato,,Breein Tyree,missed,455,2255,765.0,504.0,3
4911,3 punti sbagliato,,Lorenzo Uglietti,missed,489,2289,690.0,924.0,6
4912,2 punti sbagliato,,Darion Atkins,missed,492,2292,675.0,252.0,0
4913,2 punti sbagliato,,Kevin Juwan Hervey,missed,524,2324,705.0,308.0,0
4914,2 punti segnato,Langston Galloway,Kevin Juwan Hervey,made,538,2338,690.0,140.0,0
4915,3 punti sbagliato,,Alfonzo Mckinnie,missed,554,2354,120.0,672.0,6
4916,3 punti sbagliato,,Darion Atkins,missed,559,2359,765.0,896.0,7
4917,2 punti sbagliato,,Giovanni Alassane Camara,missed,583,2383,390.0,392.0,2
4918,3 punti sbagliato,,Kevin Juwan Hervey,missed,586,2386,1425.0,504.0,8
4919,2 punti segnato,Kyle Hines,Devon Hall,made,6,6,825.0,252.0,0
4920,3 punti segnato,Andrea Pecchia,Wayne Mccullough,made,36,36,795.0,924.0,7
4921,2 punti segnato,,Shabazz Napier,made,69,69,735.0,280.0,0
4922,3 punti segnato,Andrea Pecchia,Nathan Adrian,made,96,96,1170.0,868.0,7
4923,2 punti sbagliato,,Giordano Bortolani,missed,116,116,1155.0,420.0,3
