"description","assist","player","result","periodTime","totalTime","xx","yy"
"2 punti segnato","","Alessandro Pajola","made",238,1438,645,280
"2 punti sbagliato","","Tornike Shengelia","missed",271,1471,765,196
"2 punti sbagliato","","Alessandro Pajola","missed",283,1483,825,588
"2 punti segnato","Alessandro Pajola","Tornike Shengelia","made",315,1515,840,168
"2 punti segnato","Daniel Hackett","Tornike Shengelia","made",326,1526,855,336
"2 punti sbagliato","","Davide Casarin","missed",337,1537,795,224
"3 punti sbagliato","","Alessandro Pajola","missed",356,1556,1275,728
"2 punti sbagliato","","Barry Brown Jr","missed",440,1640,945,476
"2 punti segnato","","Davide Casarin","made",443,1643,750,280
"2 punti segnato","","Alessandro Pajola","made",448,1648,1155,336
"2 punti sbagliato","","Ognjen Dobric","missed",457,1657,930,280
"3 punti sbagliato","","Alessandro Pajola","missed",462,1662,795,952
"3 punti segnato","Barry Brown Jr","Kyle Wiltjer","made",462,1662,1215,840
"2 punti segnato","","Bruno Mascolo","made",469,1669,840,252
"3 punti segnato","Tornike Shengelia","Abass Awudu Abass","made",494,1694,225,756
"3 punti segnato","Barry Brown Jr","Kyle Wiltjer","made",505,1705,1170,868
"2 punti sbagliato","","Davide Casarin","missed",544,1744,600,560
"3 punti segnato","Bruno Mascolo","Abass Awudu Abass","made",552,1752,270,840
"2 punti segnato","","Davide Casarin","made",579,1779,720,280
"3 punti sbagliato","","Abass Awudu Abass","missed",595,1795,1035,924
"3 punti sbagliato","","Barry Brown Jr","missed",600,1800,1380,840
"3 punti segnato","Kyle Wiltjer","Rayjon Tucker","made",11,1811,1410,532
"2 punti sbagliato","","Bruno Mascolo","missed",34,1834,1125,336
"2 punti segnato","Gabriel Lundberg","Ognjen Dobric","made",61,1861,435,168
"3 punti sbagliato","","Gabriel Lundberg","missed",95,1895,330,756
"3 punti sbagliato","","Rayjon Tucker","missed",117,1917,435,980
"3 punti segnato","Jeff Brooks","Marco Spissu","made",123,1923,1245,784
"3 punti sbagliato","","Ognjen Dobric","missed",137,1937,1275,728
"2 punti segnato","Marco Spissu","Kyle Wiltjer","made",150,1950,585,308
"2 punti segnato","Davide Casarin","Amedeo Tessitori","made",190,1990,750,336
"3 punti segnato","Bryant Dunston","Marco Belinelli","made",200,2000,1155,812
"2 punti sbagliato","","Rayjon Tucker","missed",220,2020,900,364
"3 punti sbagliato","","Abass Awudu Abass","missed",232,2032,165,644
"3 punti sbagliato","","Amedeo Tessitori","missed",248,2048,780,952
"3 punti sbagliato","","Kyle Wiltjer","missed",261,2061,1290,728
"2 punti sbagliato","","Bryant Dunston","missed",271,2071,795,336
"2 punti segnato","","Daniel Hackett","made",271,2071,795,336
"2 punti segnato","Amedeo Tessitori","Jordan Parks","made",293,2093,555,308
"2 punti sbagliato","","Daniel Hackett","missed",293,2093,630,336
"2 punti sbagliato","","Daniel Hackett","missed",347,2147,1065,644
"3 punti sbagliato","","Marco Spissu","missed",366,2166,345,896
"3 punti sbagliato","","Marco Belinelli","missed",376,2176,675,924
"2 punti sbagliato","","Amedeo Tessitori","missed",396,2196,750,308
"3 punti sbagliato","","Marco Belinelli","missed",413,2213,600,952
"2 punti sbagliato","","Jordan Parks","missed",432,2232,615,420
"2 punti sbagliato","","Davide Casarin","missed",441,2241,555,392
"2 punti segnato","Alessandro Pajola","Isaia Cordinier","made",466,2266,960,196
"3 punti segnato","Alessandro Pajola","Marco Belinelli","made",485,2285,390,812
"3 punti segnato","Alessandro Pajola","Marco Belinelli","made",535,2335,735,924
"2 punti sbagliato","","Bryant Dunston","missed",560,2360,900,224
"2 punti segnato","Alessandro Pajola","Tornike Shengelia","made",577,2377,765,364
"2 punti sbagliato","","Barry Brown Jr","missed",599,2399,525,308
"3 punti sbagliato","","Alessandro Pajola","missed",599,2399,690,588
"2 punti sbagliato","","Bryant Dunston","missed",315,2415,585,504
"2 punti segnato","Marco Belinelli","Alessandro Pajola","made",356,2456,720,336
"2 punti sbagliato","","Barry Brown Jr","missed",377,2477,525,532
"2 punti segnato","Tornike Shengelia","Alessandro Pajola","made",385,2485,870,168
"2 punti sbagliato","","Amedeo Tessitori","missed",405,2505,660,336
"2 punti segnato","","Barry Brown Jr","made",431,2531,765,196
"3 punti sbagliato","","Marco Belinelli","missed",448,2548,345,840
"2 punti sbagliato","","Barry Brown Jr","missed",472,2572,675,280
"2 punti sbagliato","","Marco Belinelli","missed",489,2589,1125,308
"3 punti sbagliato","","Rayjon Tucker","missed",512,2612,1260,896
"3 punti sbagliato","","Marco Belinelli","missed",524,2624,420,840
"3 punti sbagliato","","Abass Awudu Abass","missed",565,2665,270,812
"2 punti segnato","","Kyle Wiltjer","made",582,2682,735,308
"3 punti sbagliato","","Tornike Shengelia","missed",598,2698,1260,812
"3 punti sbagliato","","Prentiss Hubb","missed",11,11,345,840
"2 punti segnato","","Andrejs Grazulis","made",37,37,510,364
"2 punti segnato","","Terry Allen","made",87,87,690,140
"2 punti sbagliato","","Paul Stephan Biligha","missed",97,97,780,28
"3 punti sbagliato","","Kamar Baldwin","missed",104,104,690,896
"2 punti segnato","Terry Allen","Pauly Paulicap","made",104,104,795,168
"2 punti segnato","Prentiss Hubb","Paul Stephan Biligha","made",104,104,765,588
"2 punti sbagliato","","Ky Bowman","missed",104,104,750,336
"2 punti sbagliato","","Ky Bowman","missed",104,104,735,196
"2 punti sbagliato","","Pauly Paulicap","missed",104,104,690,280
"2 punti segnato","Saliou Niang","Andrejs Grazulis","made",104,104,735,140
"3 punti sbagliato","","Leonardo Faggian","missed",104,104,1320,616
"2 punti sbagliato","","Ky Bowman","missed",104,104,960,672
"2 punti sbagliato","","Saliou Niang","missed",104,104,690,252
"2 punti segnato","Saliou Niang","Andrejs Grazulis","made",104,104,765,112
"3 punti segnato","Alessandro Zanelli","Terry Allen","made",288,288,945,868
"2 punti sbagliato","","Paul Stephan Biligha","missed",295,295,585,728
"2 punti segnato","","Leonardo Faggian","made",304,304,675,196
"3 punti segnato","Quinn Ellis","Andrejs Grazulis","made",321,321,1425,448
"2 punti segnato","","Paul Stephan Biligha","made",350,350,825,420
"3 punti sbagliato","","Davide Alviti","missed",366,366,780,896
"3 punti segnato","Paul Stephan Biligha","Kamar Baldwin","made",366,366,1395,532
"3 punti segnato","Justin Robinson","Ky Bowman","made",407,407,165,588
"2 punti segnato","Justin Robinson","Leonardo Faggian","made",466,466,795,224
"3 punti segnato","Toto Forray","Davide Alviti","made",487,487,1425,476
"2 punti segnato","Justin Robinson","Terry Allen","made",507,507,735,196
"2 punti segnato","","Derek Cooke","made",519,519,750,140
"2 punti segnato","Justin Robinson","Enrico Tadiotto","made",555,555,765,140
"3 punti sbagliato","","Toto Forray","missed",568,568,1425,448
"3 punti segnato","","Davide Alviti","made",576,576,60,140
"2 punti segnato","","Justin Robinson","made",594,594,840,588
"2 punti segnato","Davide Alviti","Derek Cooke","made",35,635,810,140
"2 punti sbagliato","","Justin Robinson","missed",50,650,885,392
"3 punti segnato","","Prentiss Hubb","made",57,657,510,868
"3 punti sbagliato","","Ky Bowman","missed",92,692,690,896
"2 punti sbagliato","","Toto Forray","missed",104,704,735,196
"2 punti segnato","","Justin Robinson","made",124,724,585,756
"2 punti sbagliato","","Derek Cooke","missed",152,752,645,252
"3 punti sbagliato","","Prentiss Hubb","missed",160,760,840,896
"3 punti sbagliato","","Alessandro Zanelli","missed",166,766,1455,448
"2 punti sbagliato","","Derek Cooke","missed",166,766,840,140
"3 punti segnato","Ky Bowman","Justin Robinson","made",166,766,345,784
"2 punti segnato","","Kamar Baldwin","made",166,766,765,140
"2 punti sbagliato","","Ky Bowman","missed",253,853,735,196
"3 punti sbagliato","","Justin Robinson","missed",281,881,915,924
"3 punti sbagliato","","Andrejs Grazulis","missed",297,897,990,840
"3 punti sbagliato","","Alessandro Zanelli","missed",320,920,465,1008
"2 punti segnato","","Myles Stephens","made",327,927,780,140
"2 punti segnato","Justin Robinson","Alessandro Zanelli","made",348,948,1260,532
"2 punti sbagliato","","Andrejs Grazulis","missed",373,973,1020,224
"3 punti sbagliato","","Justin Robinson","missed",393,993,960,1064
"2 punti sbagliato","","Kamar Baldwin","missed",414,1014,1065,140
"2 punti segnato","","Andrejs Grazulis","made",419,1019,690,280
"2 punti sbagliato","","Leonardo Faggian","missed",437,1037,855,196
"3 punti sbagliato","","Andrejs Grazulis","missed",460,1060,585,840
"2 punti segnato","","Justin Robinson","made",477,1077,765,448
"2 punti sbagliato","","Kamar Baldwin","missed",489,1089,900,280
"2 punti sbagliato","","Alessandro Zanelli","missed",499,1099,930,700
"2 punti sbagliato","","Gora Camara","missed",507,1107,870,224
"3 punti sbagliato","","Alessandro Zanelli","missed",511,1111,1140,840
"2 punti sbagliato","","Paul Stephan Biligha","missed",525,1125,720,336
"3 punti sbagliato","","Alessandro Zanelli","missed",539,1139,915,896
"2 punti segnato","","Pauly Paulicap","made",543,1143,780,140
"2 punti segnato","","","made",575,1175,810,196
"3 punti segnato","","Justin Robinson","made",596,1196,285,756
"3 punti sbagliato","","Kamar Baldwin","missed",18,1218,45,196
"3 punti sbagliato","","Andrejs Grazulis","missed",26,1226,1470,224
"2 punti segnato","","Ky Bowman","made",41,1241,795,672
"3 punti segnato","","Kamar Baldwin","made",62,1262,735,896
"2 punti segnato","Kamar Baldwin","Paul Stephan Biligha","made",98,1298,720,112
"3 punti segnato","","Ky Bowman","made",114,1314,765,868
"2 punti segnato","Toto Forray","Paul Stephan Biligha","made",145,1345,435,532
"2 punti segnato","Leonardo Faggian","Pauly Paulicap","made",167,1367,765,140
"2 punti sbagliato","","Kamar Baldwin","missed",191,1391,960,392
"2 punti segnato","","Paul Stephan Biligha","made",196,1396,795,168
"3 punti segnato","Andrejs Grazulis","Paul Stephan Biligha","made",214,1414,825,896
"3 punti sbagliato","","Ky Bowman","missed",214,1414,450,896
"2 punti segnato","","Terry Allen","made",214,1414,765,140
"3 punti segnato","Alessandro Zanelli","Terry Allen","made",250,1450,1380,616
"2 punti segnato","","Kamar Baldwin","made",268,1468,540,308
"3 punti segnato","","Kamar Baldwin","made",337,1537,930,896
"2 punti segnato","","Terry Allen","made",357,1557,810,168
"3 punti segnato","","Ky Bowman","made",383,1583,330,784
"2 punti sbagliato","","Paul Stephan Biligha","missed",404,1604,675,84
"2 punti segnato","","Ky Bowman","made",419,1619,765,168
"3 punti sbagliato","","Ky Bowman","missed",435,1635,540,868
"2 punti segnato","","Terry Allen","made",443,1643,765,196
"3 punti sbagliato","","Mattia Udom","missed",451,1651,645,896
"2 punti sbagliato","","Terry Allen","missed",461,1661,750,112
"2 punti segnato","","Ky Bowman","made",499,1699,495,168
"2 punti sbagliato","","Davide Alviti","missed",512,1712,825,168
"2 punti sbagliato","","Quinn Ellis","missed",557,1757,1005,476
"2 punti sbagliato","","Ky Bowman","missed",576,1776,1035,532
"3 punti sbagliato","","Davide Alviti","missed",591,1791,495,840
"2 punti sbagliato","","Derek Cooke","missed",31,1831,795,140
"3 punti segnato","","Justin Robinson","made",76,1876,1455,112
"2 punti segnato","Kamar Baldwin","Derek Cooke","made",91,1891,750,140
"2 punti sbagliato","","Justin Robinson","missed",122,1922,570,728
"2 punti sbagliato","","Justin Robinson","missed",168,1968,900,112
"2 punti segnato","","Ky Bowman","made",183,1983,840,308
"3 punti sbagliato","","Toto Forray","missed",198,1998,1155,868
"2 punti sbagliato","","Ky Bowman","missed",260,2060,1095,336
"3 punti segnato","","Kamar Baldwin","made",272,2072,45,196
"2 punti sbagliato","","Ky Bowman","missed",298,2098,960,392
"2 punti segnato","","Kamar Baldwin","made",309,2109,780,224
"2 punti sbagliato","","Terry Allen","missed",327,2127,795,560
"3 punti sbagliato","","Paul Stephan Biligha","missed",344,2144,345,784
"2 punti segnato","","Ky Bowman","made",363,2163,765,140
"2 punti sbagliato","","Kamar Baldwin","missed",375,2175,960,224
"3 punti segnato","Terry Allen","Leonardo Faggian","made",399,2199,345,756
"2 punti sbagliato","","Paul Stephan Biligha","missed",426,2226,855,588
"2 punti segnato","","Andrejs Grazulis","made",433,2233,780,140
"2 punti sbagliato","","Justin Robinson","missed",452,2252,930,616
"3 punti sbagliato","","Ky Bowman","missed",459,2259,1020,896
"3 punti sbagliato","","Myles Stephens","missed",472,2272,990,924
"2 punti sbagliato","","Leonardo Faggian","missed",492,2292,900,224
"3 punti sbagliato","","Prentiss Hubb","missed",503,2303,120,448
"3 punti segnato","Prentiss Hubb","Andrejs Grazulis","made",523,2323,1095,868
"2 punti sbagliato","","Ky Bowman","missed",542,2342,690,224
"2 punti sbagliato","","Justin Robinson","missed",558,2358,1020,336
"3 punti segnato","","Kamar Baldwin","made",573,2373,735,924
"2 punti sbagliato","","Terry Allen","missed",596,2396,720,532
"2 punti sbagliato","","Andrea Pecchia","missed",39,39,855,140
"2 punti segnato","","Grant Golden","made",39,39,855,140
"2 punti segnato","","Amine Noua","made",68,68,1215,476
"2 punti sbagliato","","Nathan Adrian","missed",94,94,930,168
"2 punti segnato","","Nathan Adrian","made",94,94,930,168
"2 punti segnato","","Kyle Weems","made",110,110,390,448
"2 punti sbagliato","","Davide Denegri","missed",133,133,405,644
"2 punti sbagliato","","Grant Golden","missed",160,160,765,252
"3 punti segnato","","Tommaso Baldasso","made",166,166,1185,784
"2 punti sbagliato","","Amine Noua","missed",203,203,645,392
"2 punti sbagliato","","Leonardo Candi","missed",209,209,1005,448
"3 punti segnato","Leonardo Candi","Kyle Weems","made",215,215,300,784
"2 punti sbagliato","","Leonardo Candi","missed",234,234,480,616
"2 punti segnato","Grant Golden","Andrea Pecchia","made",243,243,675,168
"2 punti sbagliato","","Tashawn Thomas","missed",274,274,600,252
"2 punti sbagliato","","Wayne Mccullough","missed",288,288,435,560
"3 punti sbagliato","","Amine Noua","missed",308,308,1455,168
"2 punti sbagliato","","Kyle Weems","missed",313,313,645,224
"2 punti segnato","Wayne Mccullough","Andrea Pecchia","made",321,321,885,196
"3 punti sbagliato","","Amine Noua","missed",330,330,945,896
"2 punti segnato","Davide Denegri","Nathan Adrian","made",344,344,1170,644
"2 punti segnato","Nathan Adrian","Simone Zanotti","made",372,372,855,196
"3 punti sbagliato","","Davide Denegri","missed",403,403,420,812
"2 punti sbagliato","","Luca Severini","missed",417,417,690,504
"2 punti segnato","Kyle Weems","Tashawn Thomas","made",455,455,840,280
"2 punti segnato","Marcus Zegarowski","Simone Zanotti","made",474,474,750,140
"3 punti sbagliato","","Tommaso Baldasso","missed",503,503,1170,812
"3 punti sbagliato","","Tommaso Baldasso","missed",509,509,405,840
"3 punti sbagliato","","Marcus Zegarowski","missed",531,531,480,868
"2 punti segnato","","Retin Obasohan","made",545,545,690,448
"3 punti segnato","","Davide Denegri","made",567,567,810,896
"3 punti sbagliato","","Trevor Lacey","missed",596,596,1260,756
"3 punti sbagliato","","Leonardo Candi","missed",39,639,435,896
"3 punti sbagliato","","Retin Obasohan","missed",76,676,1395,504
"2 punti sbagliato","","Marcus Zegarowski","missed",85,685,855,196
"3 punti sbagliato","","Luca Severini","missed",96,696,1365,616
"2 punti segnato","","Trevor Lacey","made",111,711,1110,672
"2 punti segnato","","Arturs Strautins","made",129,729,885,224
"2 punti sbagliato","","Trevor Lacey","missed",144,744,660,252
"3 punti segnato","Matteo Piccoli","Paul Eboua","made",155,755,1230,728
"3 punti sbagliato","","Luca Severini","missed",189,789,990,896
"3 punti sbagliato","","Marcus Zegarowski","missed",206,806,1155,812
"2 punti segnato","","Tashawn Thomas","made",225,825,885,308
"2 punti segnato","","Marcus Zegarowski","made",245,845,885,196
"3 punti sbagliato","","Wayne Mccullough","missed",289,889,375,812
"3 punti sbagliato","","Paul Eboua","missed",314,914,465,868
"3 punti segnato","","Trevor Lacey","made",318,918,1050,840
"3 punti segnato","Andrea Pecchia","Wayne Mccullough","made",348,948,120,476
"2 punti sbagliato","","Leonardo Candi","missed",374,974,720,672
"2 punti sbagliato","","Trevor Lacey","missed",393,993,540,588
"3 punti sbagliato","","Tommaso Baldasso","missed",412,1012,1380,616
"2 punti sbagliato","","Nathan Adrian","missed",438,1038,810,196
"3 punti sbagliato","","Nathan Adrian","missed",449,1049,1140,812
"3 punti sbagliato","","Davide Denegri","missed",455,1055,480,840
"2 punti segnato","Kyle Weems","Amine Noua","made",464,1064,555,280
"2 punti segnato","Grant Golden","Wayne Mccullough","made",514,1114,870,168
"3 punti sbagliato","","Andrea Zerini","missed",547,1147,1455,308
"2 punti segnato","Andrea Pecchia","Nathan Adrian","made",561,1161,690,168
"2 punti sbagliato","","Kyle Weems","missed",587,1187,915,504
"3 punti sbagliato","","Tommaso Baldasso","missed",590,1190,1110,840
"2 punti segnato","","Retin Obasohan","made",596,1196,675,196
"3 punti sbagliato","","Tommaso Baldasso","missed",18,1218,240,728
"2 punti segnato","Grant Golden","Wayne Mccullough","made",82,1282,750,112
"2 punti sbagliato","","Grant Golden","missed",115,1315,690,196
"3 punti sbagliato","","Tommaso Baldasso","missed",135,1335,120,560
"2 punti segnato","","Wayne Mccullough","made",152,1352,945,224
"2 punti sbagliato","","Andrea Pecchia","missed",181,1381,645,196
"2 punti sbagliato","","Grant Golden","missed",181,1381,645,196
"3 punti segnato","Retin Obasohan","Tommaso Baldasso","made",200,1400,1455,364
"2 punti segnato","Andrea Pecchia","Grant Golden","made",219,1419,855,168
"3 punti segnato","Retin Obasohan","Kyle Weems","made",232,1432,945,896
"2 punti segnato","","Davide Denegri","made",250,1450,1005,224
"2 punti segnato","Davide Denegri","Simone Zanotti","made",290,1490,705,168
"2 punti sbagliato","","Kyle Weems","missed",315,1515,1245,196
"2 punti segnato","Kyle Weems","Tommaso Baldasso","made",322,1522,1035,476
"3 punti sbagliato","","Davide Denegri","missed",346,1546,1200,812
"3 punti segnato","Arturs Strautins","Luca Severini","made",364,1564,90,476
"3 punti sbagliato","","Wayne Mccullough","missed",380,1580,135,560
"2 punti segnato","Marcus Zegarowski","Simone Zanotti","made",390,1590,765,140
"3 punti sbagliato","","Retin Obasohan","missed",410,1610,645,896
"3 punti segnato","Tommaso Baldasso","Luca Severini","made",444,1644,870,924
"3 punti segnato","Retin Obasohan","Arturs Strautins","made",486,1686,120,532
"3 punti segnato","","Trevor Lacey","made",507,1707,750,896
"2 punti segnato","Trevor Lacey","Simone Zanotti","made",538,1738,930,588
"2 punti segnato","Trevor Lacey","Simone Zanotti","made",591,1791,885,196
"3 punti sbagliato","","Luca Severini","missed",592,1792,1395,1260
"3 punti segnato","","Marcus Zegarowski","made",18,1818,765,924
"3 punti sbagliato","","Arturs Strautins","missed",35,1835,1425,560
"3 punti sbagliato","","Tommaso Baldasso","missed",40,1840,390,840
"2 punti sbagliato","","Marcus Zegarowski","missed",63,1863,855,224
"2 punti segnato","","Paul Eboua","made",68,1868,810,140
"2 punti segnato","","Retin Obasohan","made",92,1892,525,588
"3 punti sbagliato","","Arturs Strautins","missed",134,1934,1455,224
"3 punti sbagliato","","Simone Zanotti","missed",154,1954,465,896
"2 punti sbagliato","","Amine Noua","missed",165,1965,945,224
"2 punti sbagliato","","Trevor Lacey","missed",181,1981,930,308
"3 punti sbagliato","","Tommaso Baldasso","missed",202,2002,1110,784
"3 punti sbagliato","","Paul Eboua","missed",219,2019,465,812
"2 punti segnato","","Tommaso Baldasso","made",225,2025,1020,448
"2 punti segnato","","Simone Zanotti","made",256,2056,525,196
"2 punti sbagliato","","Andrea Pecchia","missed",305,2105,840,196
"2 punti segnato","","Grant Golden","made",335,2135,840,196
"2 punti segnato","Retin Obasohan","Tashawn Thomas","made",350,2150,825,252
"2 punti sbagliato","","Marcus Zegarowski","missed",372,2172,705,224
"3 punti sbagliato","","Arturs Strautins","missed",373,2173,1440,448
"3 punti sbagliato","","Wayne Mccullough","missed",379,2179,105,448
"2 punti sbagliato","","Grant Golden","missed",391,2191,690,224
"2 punti segnato","","Grant Golden","made",391,2191,690,224
"2 punti segnato","Kyle Weems","Tashawn Thomas","made",411,2211,855,280
"2 punti segnato","Grant Golden","Nathan Adrian","made",427,2227,825,196
"3 punti segnato","Andrea Pecchia","Davide Denegri","made",469,2269,405,924
"2 punti sbagliato","","Retin Obasohan","missed",490,2290,690,336
"2 punti segnato","","Tommaso Baldasso","made",523,2323,690,168
"3 punti segnato","","Davide Denegri","made",544,2344,1110,840
"2 punti sbagliato","","Nathan Adrian","missed",561,2361,795,224
"3 punti sbagliato","","Trevor Lacey","missed",587,2387,960,952
"2 punti segnato","Diego Flaccadori","Nicolò Melli","made",11,11,690,280
"3 punti sbagliato","","Shavon Shields","missed",64,64,1290,672
"3 punti sbagliato","","Gabe Brown","missed",74,74,720,924
"2 punti sbagliato","","Alex Poythress","missed",95,95,825,448
"2 punti segnato","Skylar Spencer","Vinnie Shahid","made",108,108,780,224
"2 punti sbagliato","","Nicolò Melli","missed",128,128,735,252
"3 punti segnato","Olivier Hanlan","Gabe Brown","made",145,145,345,756
"2 punti segnato","Shavon Shields","Alex Poythress","made",166,166,720,280
"3 punti sbagliato","","Shavon Shields","missed",177,177,1395,700
"3 punti sbagliato","","Gabe Brown","missed",190,190,1305,728
"2 punti sbagliato","","Stefano Tonut","missed",201,201,795,252
"2 punti segnato","Olivier Hanlan","Skylar Spencer","made",213,213,810,252
"2 punti segnato","Stefano Tonut","Alex Poythress","made",259,259,855,280
"2 punti segnato","Olivier Hanlan","Gabe Brown","made",281,281,615,112
"2 punti segnato","","Nicolò Melli","made",295,295,750,504
"2 punti segnato","","Olivier Hanlan","made",311,311,615,420
"2 punti segnato","Stefano Tonut","Nicolò Melli","made",323,323,555,168
"2 punti segnato","Stefano Tonut","Alex Poythress","made",355,355,825,140
"2 punti segnato","","Stefano Tonut","made",373,373,690,140
"2 punti segnato","Matteo Librizzi","Andriu Tomas Woldetensae","made",391,391,600,252
"3 punti sbagliato","","Diego Flaccadori","missed",407,407,60,420
"2 punti sbagliato","","Olivier Hanlan","missed",429,429,705,196
"2 punti sbagliato","","Stefano Tonut","missed",441,441,795,280
"3 punti sbagliato","","Olivier Hanlan","missed",447,447,1005,840
"2 punti sbagliato","","Diego Flaccadori","missed",467,467,420,308
"2 punti segnato","","Kyle Hines","made",467,467,420,308
"3 punti sbagliato","","Olivier Hanlan","missed",493,493,45,420
"3 punti sbagliato","","Andriu Tomas Woldetensae","missed",505,505,255,672
"3 punti segnato","","Gabe Brown","made",534,534,1095,840
"2 punti sbagliato","","Stefano Tonut","missed",555,555,825,560
"3 punti sbagliato","","Vinnie Shahid","missed",591,591,1170,868
"3 punti sbagliato","","Guglielmo Caruso","missed",600,600,375,1008
"2 punti sbagliato","","Billy Baron","missed",9,609,660,476
"2 punti sbagliato","","Guglielmo Caruso","missed",14,614,975,196
"2 punti segnato","Devon Hall","Kyle Hines","made",31,631,810,308
"2 punti sbagliato","","Billy Baron","missed",74,674,855,364
"2 punti sbagliato","","Guglielmo Caruso","missed",79,679,915,224
"2 punti segnato","","Guglielmo Caruso","made",83,683,780,336
"3 punti sbagliato","","Gabe Brown","missed",88,688,15,308
"3 punti sbagliato","","Andriu Tomas Woldetensae","missed",111,711,255,784
"3 punti sbagliato","","Devon Hall","missed",130,730,1275,756
"3 punti segnato","Guglielmo Caruso","Giordano Bortolani","made",135,735,705,924
"2 punti segnato","Scott Ulaneo","Andriu Tomas Woldetensae","made",157,757,900,196
"2 punti segnato","Giordano Bortolani","Kyle Hines","made",181,781,615,392
"2 punti sbagliato","","Andriu Tomas Woldetensae","missed",212,812,720,448
"3 punti segnato","","Shavon Shields","made",234,834,315,840
"2 punti sbagliato","","Skylar Spencer","missed",247,847,555,224
"2 punti sbagliato","","Kyle Hines","missed",259,859,810,308
"2 punti sbagliato","","Olivier Hanlan","missed",267,867,555,336
"2 punti segnato","Shavon Shields","Guglielmo Caruso","made",285,885,525,252
"2 punti segnato","Andriu Tomas Woldetensae","Skylar Spencer","made",302,902,780,168
"2 punti segnato","","Olivier Hanlan","made",325,925,735,252
"2 punti sbagliato","","Shavon Shields","missed",345,945,765,448
"3 punti sbagliato","","Sean Mcdermott","missed",354,954,885,896
"2 punti sbagliato","","Olivier Hanlan","missed",392,992,705,392
"2 punti sbagliato","","Alex Poythress","missed",432,1032,675,364
"3 punti segnato","Olivier Hanlan","Gabe Brown","made",440,1040,75,140
"3 punti segnato","Olivier Hanlan","Matteo Librizzi","made",473,1073,270,728
"2 punti sbagliato","","Nicolò Melli","missed",495,1095,780,364
"3 punti sbagliato","","Shavon Shields","missed",501,1101,285,784
"2 punti sbagliato","","Nicolò Melli","missed",509,1109,765,280
"2 punti segnato","","Olivier Hanlan","made",529,1129,540,280
"2 punti segnato","","Devon Hall","made",543,1143,555,140
"2 punti segnato","","Olivier Hanlan","made",565,1165,1035,364
"3 punti segnato","","Shavon Shields","made",585,1185,165,672
"3 punti segnato","","Vinnie Shahid","made",598,1198,435,896
"2 punti segnato","","Olivier Hanlan","made",26,1226,705,504
"2 punti sbagliato","","Shavon Shields","missed",52,1252,735,560
"3 punti sbagliato","","Gabe Brown","missed",57,1257,240,756
"2 punti sbagliato","","Alex Poythress","missed",88,1288,615,336
"2 punti segnato","Olivier Hanlan","Skylar Spencer","made",95,1295,600,224
"2 punti sbagliato","","Diego Flaccadori","missed",113,1313,1215,336
"2 punti segnato","","Olivier Hanlan","made",120,1320,885,140
"2 punti segnato","Nicolò Melli","Shavon Shields","made",143,1343,960,196
"2 punti segnato","","Shavon Shields","made",162,1362,780,196
"2 punti sbagliato","","Vinnie Shahid","missed",191,1391,735,196
"3 punti sbagliato","","Matteo Librizzi","missed",198,1398,75,420
"2 punti segnato","","Devon Hall","made",219,1419,540,308
"3 punti sbagliato","","Sean Mcdermott","missed",235,1435,840,924
"2 punti sbagliato","","Shavon Shields","missed",255,1455,1065,336
"3 punti segnato","Sean Mcdermott","Matteo Librizzi","made",261,1461,1365,588
"2 punti segnato","","Kyle Hines","made",286,1486,630,308
"2 punti segnato","","Shavon Shields","made",316,1516,420,532
"3 punti segnato","","Sean Mcdermott","made",341,1541,240,756
"2 punti segnato","Vinnie Shahid","Skylar Spencer","made",392,1592,825,280
"3 punti segnato","","Shavon Shields","made",411,1611,720,952
"3 punti segnato","Kyle Hines","Shavon Shields","made",457,1657,150,644
"2 punti sbagliato","","Scott Ulaneo","missed",478,1678,840,308
"3 punti sbagliato","","Vinnie Shahid","missed",498,1698,375,840
"2 punti sbagliato","","Devon Hall","missed",524,1724,885,504
"3 punti sbagliato","","Sean Mcdermott","missed",536,1736,675,896
"3 punti sbagliato","","Guglielmo Caruso","missed",553,1753,1305,672
"3 punti sbagliato","","Gabe Brown","missed",563,1763,390,868
"2 punti sbagliato","","Billy Baron","missed",583,1783,945,308
"3 punti segnato","Vinnie Shahid","Sean Mcdermott","made",598,1798,1470,448
"2 punti sbagliato","","Devon Hall","missed",22,1822,810,392
"2 punti segnato","Andriu Tomas Woldetensae","Scott Ulaneo","made",43,1843,720,280
"3 punti segnato","Stefano Tonut","Giordano Bortolani","made",62,1862,1410,532
"3 punti sbagliato","","Devon Hall","missed",85,1885,1320,756
"3 punti sbagliato","","Olivier Hanlan","missed",106,1906,300,812
"2 punti segnato","","","made",123,1923,270,392
"2 punti sbagliato","","Scott Ulaneo","missed",147,1947,810,140
"3 punti sbagliato","","Giordano Bortolani","missed",168,1968,645,1008
"2 punti segnato","Andriu Tomas Woldetensae","Sean Mcdermott","made",177,1977,570,308
"2 punti sbagliato","","Olivier Hanlan","missed",193,1993,630,196
"2 punti segnato","Kyle Hines","Nicolò Melli","made",211,2011,735,196
"3 punti segnato","","Olivier Hanlan","made",246,2046,975,896
"3 punti sbagliato","","Stefano Tonut","missed",265,2065,1065,868
"3 punti sbagliato","","Shavon Shields","missed",285,2085,1005,896
"2 punti sbagliato","","Skylar Spencer","missed",297,2097,705,168
