"description","assist","player","result","periodTime","totalTime","xx","yy"
"2 punti segnato","","Leonardo Candi","made",292,1492,555,224
"2 punti sbagliato","","Nicola Akele","missed",312,1512,915,336
"3 punti sbagliato","","Kyle Weems","missed",334,1534,270,728
"3 punti segnato","Miro Bilan","John Petrucelli","made",347,1547,1095,784
"2 punti segnato","Retin Obasohan","","made",368,1568,690,140
"2 punti segnato","","Amedeo Della Valle","made",386,1586,480,364
"3 punti segnato","","Amedeo Della Valle","made",422,1622,420,868
"3 punti segnato","Kenny Gabriel","C.J. Massinburg","made",460,1660,255,728
"2 punti segnato","Tommaso Baldasso","Tashawn Thomas","made",478,1678,720,224
"2 punti segnato","","C.J. Massinburg","made",501,1701,645,308
"3 punti segnato","","Retin Obasohan","made",547,1747,630,896
"2 punti segnato","","C.J. Massinburg","made",562,1762,945,476
"3 punti sbagliato","","Mike Daum","missed",574,1774,390,812
"3 punti sbagliato","","Tommaso Baldasso","missed",580,1780,1365,588
"3 punti segnato","Retin Obasohan","Chris Dowe","made",592,1792,1275,672
"3 punti sbagliato","","Jason Burnell","missed",599,1799,870,1260
"3 punti sbagliato","","Kenny Gabriel","missed",15,1815,1335,560
"2 punti segnato","David Reginald Cournooh","Jason Burnell","made",20,1820,1020,280
"2 punti sbagliato","","Mike Daum","missed",39,1839,780,364
"3 punti sbagliato","","Tommaso Baldasso","missed",79,1879,195,672
"2 punti segnato","","Mike Daum","made",94,1894,960,196
"3 punti segnato","C.J. Massinburg","Kenny Gabriel","made",116,1916,780,924
"3 punti sbagliato","","Mike Daum","missed",138,1938,555,868
"2 punti segnato","","David Reginald Cournooh","made",149,1949,1125,588
"2 punti sbagliato","","Tommaso Baldasso","missed",173,1973,900,280
"3 punti segnato","David Reginald Cournooh","Jason Burnell","made",181,1981,1200,784
"2 punti sbagliato","","Chris Dowe","missed",190,1990,660,448
"3 punti sbagliato","","Tommaso Baldasso","missed",193,1993,930,868
"2 punti sbagliato","","C.J. Massinburg","missed",211,2011,615,504
"3 punti sbagliato","","Leon Radosevic","missed",232,2032,1095,784
"2 punti sbagliato","","David Reginald Cournooh","missed",248,2048,915,672
"3 punti sbagliato","","Arturs Strautins","missed",269,2069,765,924
"2 punti sbagliato","","C.J. Massinburg","missed",289,2089,900,392
"2 punti segnato","","Michael Cobbins","made",289,2089,900,392
"2 punti sbagliato","","Leon Radosevic","missed",315,2115,1065,308
"3 punti sbagliato","","Andrea Zerini","missed",318,2118,1305,672
"2 punti segnato","Michael Cobbins","Kenny Gabriel","made",319,2119,735,280
"3 punti sbagliato","","Andrea Zerini","missed",332,2132,1230,756
"3 punti sbagliato","","Jason Burnell","missed",351,2151,615,896
"3 punti sbagliato","","Kenny Gabriel","missed",353,2153,420,812
"3 punti segnato","","C.J. Massinburg","made",366,2166,900,924
"2 punti segnato","","Tommaso Baldasso","made",393,2193,1035,168
"2 punti sbagliato","","Michael Cobbins","missed",414,2214,825,476
